,country,region,age,time,gender,category
409,CHE,Europe,36,93.61666666666666,male,21km
410,CAN,Americas,29,93.61666666666666,male,21km
411,AUS,Oceania,46,93.63333333333334,male,21km
412,CAN,Americas,27,93.63333333333334,male,21km
413,FRA,Europe,35,93.65,male,21km
414,CHE,Europe,27,93.65,male,21km
415,CHE,Europe,30,93.68333333333334,male,21km
416,FRA,Europe,66,93.7,male,21km
417,FRA,Europe,19,93.7,male,21km
418,CHE,Europe,48,93.73333333333333,male,21km
419,CHE,Europe,57,93.78333333333333,male,21km
420,CHE,Europe,52,93.78333333333333,male,21km
421,AUT,Europe,34,93.8,male,21km
422,CHE,Europe,39,93.8,male,21km
423,CHE,Europe,23,93.83333333333333,male,21km
424,CHE,Europe,36,93.86666666666666,male,21km
425,FRA,Europe,50,93.95,male,21km
426,CHE,Europe,18,93.95,male,21km
427,CHE,Europe,21,93.98333333333333,male,21km
428,PRT,Europe,45,93.98333333333333,female,21km
429,ITA,Europe,38,94.06666666666666,male,21km
430,FRA,Europe,26,94.08333333333333,male,21km
431,FRA,Europe,51,94.11666666666666,male,21km
432,CHE,Europe,48,94.15,male,21km
433,AUT,Europe,29,94.15,male,21km
434,FRA,Europe,41,94.18333333333334,male,21km
435,NLD,Europe,42,94.18333333333334,male,21km
436,CHE,Europe,55,94.2,male,21km
437,DEU,Europe,20,94.21666666666667,male,21km
438,DEU,Europe,22,94.21666666666667,male,21km
439,SVK,Europe,42,94.28333333333333,male,21km
440,CHE,Europe,30,94.28333333333333,male,21km
441,VEN,Americas,58,94.31666666666666,male,21km
442,CHE,Europe,40,94.31666666666666,male,21km
443,CHE,Europe,50,94.33333333333333,male,21km
444,CHE,Europe,42,94.36666666666666,female,21km
445,FRA,Europe,33,94.4,female,21km
446,CHE,Europe,19,94.41666666666667,male,21km
447,FRA,Europe,41,94.43333333333334,male,21km
448,CHE,Europe,43,94.45,male,21km
449,CHE,Europe,28,94.5,male,21km
450,CHE,Europe,45,94.51666666666667,male,21km
451,CHE,Europe,32,94.55,male,21km
452,CHE,Europe,42,94.6,male,21km
453,FRA,Europe,34,94.61666666666666,male,21km
454,CHE,Europe,39,94.65,male,21km
455,CHE,Europe,45,94.68333333333334,male,21km
456,CHE,Europe,36,94.68333333333334,male,21km
457,CHE,Europe,65,94.75,male,21km
458,ESP,Europe,42,94.76666666666667,male,21km
459,FRA,Europe,40,94.78333333333333,male,21km
460,CHE,Europe,27,94.78333333333333,male,21km
461,FRA,Europe,45,94.81666666666666,male,21km
462,CHE,Europe,55,94.85,male,21km
463,CHE,Europe,18,94.86666666666666,male,21km
464,SWE,Europe,49,94.88333333333334,female,21km
465,CHE,Europe,44,94.9,male,21km
466,FRA,Europe,33,94.9,male,21km
467,CHE,Europe,58,94.91666666666667,male,21km
468,GBR,Europe,21,94.93333333333334,female,21km
469,ITA,Europe,48,94.93333333333334,male,21km
470,DEU,Europe,33,94.95,female,21km
471,FRA,Europe,34,94.95,male,21km
472,CHE,Europe,22,94.96666666666667,male,21km
473,CHE,Europe,35,94.96666666666667,male,21km
474,CHE,Europe,45,94.96666666666667,male,21km
475,CHE,Europe,44,94.98333333333333,male,21km
476,NLD,Europe,44,94.98333333333333,male,21km
477,CHE,Europe,53,94.98333333333333,female,21km
478,CHE,Europe,37,95.0,male,21km
479,CHE,Europe,43,95.01666666666667,male,21km
480,CHE,Europe,43,95.05,male,21km
481,CHE,Europe,31,95.11666666666666,male,21km
482,FRA,Europe,27,95.13333333333334,male,21km
483,CHE,Europe,57,95.13333333333334,male,21km
484,GBR,Europe,33,95.13333333333334,female,21km
485,CHE,Europe,26,95.15,male,21km
486,USA,Americas,42,95.15,male,21km
487,CHE,Europe,59,95.18333333333334,male,21km
488,GBR,Europe,28,95.2,male,21km
489,CHE,Europe,42,95.2,male,21km
490,ITA,Europe,47,95.2,female,21km
491,CHE,Europe,54,95.21666666666667,male,21km
492,CHE,Europe,45,95.23333333333333,male,21km
493,CHE,Europe,55,95.25,male,21km
494,CAN,Americas,33,95.26666666666667,male,21km
495,PRT,Europe,24,95.26666666666667,male,21km
496,CHE,Europe,23,95.31666666666666,male,21km
497,GBR,Europe,29,95.36666666666666,male,21km
498,PRT,Europe,60,95.38333333333334,male,21km
499,CHE,Europe,34,95.4,male,21km
500,FRA,Europe,27,95.41666666666667,male,21km
501,ROU,Europe,30,95.46666666666667,male,21km
502,ITA,Europe,46,95.48333333333333,male,21km
503,CHE,Europe,48,95.51666666666667,male,21km
504,FRA,Europe,25,95.55,male,21km
505,CHE,Europe,30,95.58333333333333,male,21km
506,CHE,Europe,24,95.66666666666667,male,21km
507,CHE,Europe,28,95.66666666666667,male,21km
508,CHE,Europe,43,95.68333333333334,male,21km
509,FRA,Europe,38,95.7,male,21km
510,FRA,Europe,32,95.73333333333333,female,21km
511,FRA,Europe,36,95.75,male,21km
512,FRA,Europe,36,95.75,male,21km
513,BEL,Europe,34,95.76666666666667,male,21km
514,CHE,Europe,31,95.76666666666667,male,21km
515,CHE,Europe,49,95.78333333333333,male,21km
516,FRA,Europe,55,95.81666666666666,male,21km
517,CHE,Europe,33,95.83333333333333,male,21km
518,USA,Americas,46,95.85,male,21km
519,PRT,Europe,32,95.85,male,21km
520,FRA,Europe,47,95.85,male,21km
521,CHE,Europe,38,95.86666666666666,male,21km
522,CHE,Europe,44,95.88333333333334,male,21km
523,CHE,Europe,19,95.9,male,21km
524,CHE,Europe,36,95.9,male,21km
525,CHE,Europe,35,95.91666666666667,male,21km
526,CHE,Europe,35,95.93333333333334,male,21km
527,CHE,Europe,34,95.95,male,21km
528,CHE,Europe,48,95.98333333333333,female,21km
529,CHE,Europe,31,96.01666666666667,male,21km
530,CHE,Europe,46,96.05,male,21km
531,CHE,Europe,42,96.06666666666666,male,21km
532,CHE,Europe,46,96.06666666666666,male,21km
533,CHE,Europe,58,96.13333333333334,male,21km
534,HUN,Europe,29,96.13333333333334,male,21km
535,CHE,Europe,30,96.13333333333334,male,21km
536,CHE,Europe,27,96.16666666666667,male,21km
537,FRA,Europe,25,96.18333333333334,male,21km
538,CHE,Europe,21,96.18333333333334,male,21km
539,CHE,Europe,38,96.21666666666667,male,21km
540,CHE,Europe,28,96.23333333333333,male,21km
541,FRA,Europe,21,96.23333333333333,male,21km
542,FRA,Europe,21,96.25,male,21km
543,CHE,Europe,48,96.26666666666667,male,21km
544,ESP,Europe,28,96.28333333333333,male,21km
545,FRA,Europe,32,96.28333333333333,male,21km
546,AUT,Europe,30,96.3,female,21km
547,CHE,Europe,46,96.31666666666666,male,21km
548,CHE,Europe,22,96.36666666666666,male,21km
549,FRA,Europe,30,96.36666666666666,male,21km
550,CHE,Europe,35,96.38333333333334,male,21km
551,CHE,Europe,29,96.38333333333334,male,21km
552,CHE,Europe,45,96.38333333333334,female,21km
553,CHE,Europe,25,96.38333333333334,male,21km
554,CHE,Europe,46,96.4,male,21km
555,FRA,Europe,41,96.45,female,21km
556,FRA,Europe,43,96.45,male,21km
557,CHE,Europe,27,96.46666666666667,male,21km
558,CHE,Europe,17,96.46666666666667,male,21km
559,DEU,Europe,18,96.46666666666667,male,21km
560,CHE,Europe,43,96.46666666666667,male,21km
561,POL,Europe,30,96.48333333333333,male,21km
562,ITA,Europe,35,96.48333333333333,female,21km
563,ITA,Europe,48,96.5,male,21km
564,ZAF,Africa,36,96.5,male,21km
565,BEL,Europe,34,96.5,male,21km
566,FRA,Europe,26,96.51666666666667,male,21km
567,PRT,Europe,46,96.51666666666667,male,21km
568,BEL,Europe,34,96.51666666666667,male,21km
569,FRA,Europe,46,96.51666666666667,male,21km
570,CHN,Asia,36,96.53333333333333,male,21km
571,CHE,Europe,27,96.55,male,21km
572,CHE,Europe,35,96.55,male,21km
573,CHE,Europe,29,96.56666666666666,male,21km
574,ESP,Europe,38,96.61666666666666,male,21km
575,FRA,Europe,29,96.65,male,21km
576,CHE,Europe,32,96.65,male,21km
577,CHE,Europe,30,96.66666666666667,male,21km
578,CHE,Europe,59,96.68333333333334,male,21km
579,CHE,Europe,45,96.68333333333334,male,21km
580,CHE,Europe,19,96.7,female,21km
581,CHE,Europe,40,96.71666666666667,male,21km
582,FRA,Europe,28,96.71666666666667,male,21km
583,CHN,Asia,36,96.73333333333333,male,21km
584,CHE,Europe,29,96.75,male,21km
585,CHE,Europe,46,96.75,male,21km
